,0,1,2,3
"[0.5, 0.5]",,,-4.808713325128297,-5.157372303691244
"[1.5, 0.5]",,-3.733793322118672,-3.380820377962273,
"[2.5, 0.5]",,-2.2759557128504864,-1.971614728294838,
"[0.5, 1.5]",-3.9154131289421903,,,-3.870824370868573
"[0.5, 2.5]",-2.8128375019765253,,,-2.7513647375553085
"[0.5, 3.5]",-1.9782804791283173,,,-1.8479834847985697
"[3.5, 0.5]",,-1.1283431087144267,-0.9862757956763056,-0.875249199190315
"[3.5, 1.5]",-0.6494243378447142,,,-0.5457231898266203
"[3.5, 2.5]",-0.3704402176059961,,,-0.33866277607815115
"[3.5, 3.5]",-0.3030525102410477,,,-0.26529606133931616
"[4.5, 0.5]",,-0.5227311106138008,-0.5030615363702421,
"[5.5, 0.5]",,-0.23910221935175924,-0.2163790293460545,
"[0.5, 4.5]",-1.46965229570932,,-1.4072988036651564,
"[1.5, 4.5]",,-1.0375164757519504,-0.9802219856869758,
"[2.5, 4.5]",,-0.6047362592901957,-0.5518081670587272,
"[3.5, 4.5]",-0.31814844125124386,-0.315758347776601,0.2202561796978394,
"[4.5, 4.5]",,-0.0878204254894122,10.338689381422991,
"[5.5, 4.5]",,-0.0185346758874412,147.85307659004206,
"[6.5, 0.5]",,-0.14006305433782934,,-0.1255323189078
"[6.5, 1.5]",-0.183348503312,,,-0.06280664922
"[6.5, 2.5]",-0.13,,,0.2294673801864897
"[6.5, 4.5]",1.5530259603524623,-0.0146,,
"[6.5, 3.5]",-0.018280099999999997,,,38.19001427515705
