,0,1,2,3
"[0.5, 0.5]",,,-10.46671333014921,-10.47183344025375
"[1.5, 0.5]",,-7.835930357304151,-7.822141868070366,
"[2.5, 0.5]",,-5.264636061740564,-5.2193919479125315,
"[0.5, 1.5]",-8.146157253069518,,,-8.196235266004374
"[0.5, 2.5]",-6.170817910612489,,,-6.1417878650714535
"[0.5, 3.5]",-4.573768365673049,,,-4.549930547671649
"[3.5, 0.5]",,-2.7960879095635405,-2.811719769448868,-2.7827489814312987
"[3.5, 1.5]",-1.9848824108343874,,,-1.9229008681558954
"[3.5, 2.5]",-1.2380424753602146,,,-1.1955878896906882
"[3.5, 3.5]",-0.7177626375871076,,,-0.6930272181325264
"[4.5, 0.5]",,-1.558161937580638,-1.5365256318793716,
"[5.5, 0.5]",,-0.7451868518919579,-0.6862837215937199,
"[0.5, 4.5]",-3.363971209504471,,-3.3873707250560146,
"[1.5, 4.5]",,-2.209980798223203,-2.245126517909416,
"[2.5, 4.5]",,-1.1593228764656869,-1.155942994606019,
"[3.5, 4.5]",-0.4478310880537103,-0.48819420491040183,1.2050080231898816,
"[4.5, 4.5]",,-0.15765306053009862,15.475079852831747,
"[5.5, 4.5]",,0.006931458371455021,106.45652109812512,
"[6.5, 0.5]",,-0.25544891445521256,,-0.2497274646354297
"[6.5, 1.5]",-0.12358073872175653,,,-0.1297337247269673
"[6.5, 2.5]",-0.059150136529807995,,,1.8006846213525411
"[6.5, 4.5]",11.626203660361202,1.0064668830414287,,
"[6.5, 3.5]",-0.1078391510650792,,,65.46090696021294
