,0,1,2,3
"[0.5, 0.5]",,,-11.245407341756172,-11.219070044502105
"[1.5, 0.5]",,-8.409140370591306,-8.411410953998862,
"[2.5, 0.5]",,-5.693691555598583,-5.652278963263124,
"[0.5, 1.5]",-8.817933408061041,,,-8.767490434907389
"[0.5, 2.5]",-6.571012325615667,,,-6.583119824182965
"[0.5, 3.5]",-4.928836959762674,,,-4.9409754943707656
"[3.5, 0.5]",,-3.091248533084844,-3.043192346499912,-3.0787842728811183
"[3.5, 1.5]",-2.136808229106688,,,-2.1230845832203085
"[3.5, 2.5]",-1.3029895553679185,,,-1.323112749656578
"[3.5, 3.5]",-0.7177626375871076,,,-0.71737110919423
"[4.5, 0.5]",,-1.7166274664814074,-1.662757463558951,
"[5.5, 0.5]",,-0.8108815961517599,-0.7593087874740034,
"[0.5, 4.5]",-3.6679044554222093,,-3.6815716807894585,
"[1.5, 4.5]",,-2.415584277271566,-2.4185759145787666,
"[2.5, 4.5]",,-1.214003556358166,-1.1899100897071617,
"[3.5, 4.5]",-0.4478310880537103,-0.530846168749489,2.202942785235274,
"[4.5, 4.5]",,-0.15765306053009862,21.548778518468445,
"[5.5, 4.5]",,0.006931458371455021,139.002541354262,
"[6.5, 0.5]",,-0.3074011069776881,,-0.3137895959937382
"[6.5, 1.5]",-0.1686439715646359,,,-0.13423022588752476
"[6.5, 2.5]",-0.059150136529807995,,,2.440023194606447
"[6.5, 4.5]",13.755798565350903,1.0064668830414287,,
"[6.5, 3.5]",-0.11220055080297038,,,83.64735861721559
