,0,1,2,3
"[0.5, 0.5]",,,-7.272313790218243,-7.328557276504648
"[1.5, 0.5]",,-5.369145694597147,-5.369722606709569,
"[2.5, 0.5]",,-3.4897718875550034,-3.5082257173391547,
"[0.5, 1.5]",-5.628845930714674,,,-5.647635182483008
"[0.5, 2.5]",-4.087597685837686,,,-4.080211648565747
"[0.5, 3.5]",-2.922932333059524,,,-2.9445370117964687
"[3.5, 0.5]",,-1.7477609042998121,-1.7034912758042038,-1.725607845355338
"[3.5, 1.5]",-1.155306462833002,,,-1.187496084446831
"[3.5, 2.5]",-0.7364382911571158,,,-0.7652688660927963
"[3.5, 3.5]",-0.4982801336387617,,,-0.5227053003640824
"[4.5, 0.5]",,-0.9406776434993447,-0.9380258833167007,
"[5.5, 0.5]",,-0.4940015549288954,-0.4877897792500224,
"[0.5, 4.5]",-2.1863674259528043,,-2.182621938811764,
"[1.5, 4.5]",,-1.4759330146919591,-1.4560932185127506,
"[2.5, 4.5]",,-0.8689305401340325,-0.84709397568428,
"[3.5, 4.5]",-0.4015907910139599,-0.4443117490706251,-0.2950609080871836,
"[4.5, 4.5]",,-0.0878204254894122,5.07066659804805,
"[5.5, 4.5]",,-0.02001913274124955,54.24765921832026,
"[6.5, 0.5]",,-0.20252818228368938,,-0.21924845322930428
"[6.5, 1.5]",-0.12358073872175653,,,-0.11905510426871091
"[6.5, 2.5]",-0.059150136529808,,,0.9256476110062797
"[6.5, 4.5]",5.0162258505871025,0.4038834259370429,,
"[6.5, 3.5]",-0.06833708142448447,,,53.72394235919076
