,0,1,2,3
"[0.5, 0.5]",,,-10.409662137401527,-10.41238361151221
"[1.5, 0.5]",,-7.835930357304151,-7.771979346855208,
"[2.5, 0.5]",,-5.264636061740564,-5.175812742634486,
"[0.5, 1.5]",-8.146157253069518,,,-8.141518317406828
"[0.5, 2.5]",-6.170817910612489,,,-6.092459085734918
"[0.5, 3.5]",-4.573768365673049,,,-4.505930021542786
"[3.5, 0.5]",,-2.7960879095635405,-2.7152591893766647,-2.7310014704820733
"[3.5, 1.5]",-1.9063917393384338,,,-1.9229008681558954
"[3.5, 2.5]",-1.2380424753602146,,,-1.1955878896906882
"[3.5, 3.5]",-0.7177626375871076,,,-0.6930272181325264
"[4.5, 0.5]",,-1.4793766912588882,-1.4905546246313415,
"[5.5, 0.5]",,-0.7451868518919579,-0.6862837215937199,
"[0.5, 4.5]",-3.363971209504471,,-3.351091816032329,
"[1.5, 4.5]",,-2.209980798223203,-2.215575289450426,
"[2.5, 4.5]",,-1.1593228764656869,-1.1452201503882584,
"[3.5, 4.5]",-0.4478310880537103,-0.48819420491040183,1.1138838087063334,
"[4.5, 4.5]",,-0.15765306053009862,14.684783618956851,
"[5.5, 4.5]",,0.006931458371455021,107.46045222938488,
"[6.5, 0.5]",,-0.25544891445521256,,-0.2497274646354297
"[6.5, 1.5]",-0.12358073872175653,,,-0.1297337247269673
"[6.5, 2.5]",-0.059150136529807995,,,1.8006846213525411
"[6.5, 4.5]",11.18593233712087,1.0064668830414287,,
"[6.5, 3.5]",-0.1078391510650792,,,66.04784962350473
