,0,1,2,3
"[0.5, 0.5]",,,-9.716100415733816,-9.764504772544846
"[1.5, 0.5]",,-7.269911414024961,-7.206764513024774,
"[2.5, 0.5]",,-4.842337055910823,-4.767285356295528,
"[0.5, 1.5]",-7.700373227484266,,,-7.554051393268649
"[0.5, 2.5]",-5.772724724729066,,,-5.69833424720369
"[0.5, 3.5]",-4.30468050315188,,,-4.244627539833051
"[3.5, 0.5]",,-2.500971784309974,-2.5208053839394133,-2.4746699646843884
"[3.5, 1.5]",-1.75465765418151,,,-1.7127626604864943
"[3.5, 2.5]",-1.1114777763470272,,,-1.0563660163808521
"[3.5, 3.5]",-0.6654666254339691,,,-0.6456989041177644
"[4.5, 0.5]",,-1.3231916485887802,-1.3526099707877526,
"[5.5, 0.5]",,-0.6804780970854387,-0.6862837215937199,
"[0.5, 4.5]",-3.2098419002844856,,-3.1239570291999628,
"[1.5, 4.5]",,-2.07553671193485,-2.093739715459623,
"[2.5, 4.5]",,-1.1593228764656869,-1.0943618131087947,
"[3.5, 4.5]",-0.4478310880537103,-0.4443117490706251,0.5794757961963084,
"[4.5, 4.5]",,-0.15765306053009862,11.708218764267812,
"[5.5, 4.5]",,0.006931458371455021,89.13387631999495,
"[6.5, 0.5]",,-0.25544891445521256,,-0.2497274646354297
"[6.5, 1.5]",-0.12358073872175653,,,-0.1297337247269673
"[6.5, 2.5]",-0.059150136529807995,,,1.8006846213525411
"[6.5, 4.5]",11.18593233712087,1.0064668830414287,,
"[6.5, 3.5]",-0.1078391510650792,,,66.04784962350473
