,0,1,2,3
"[0.5, 0.5]",,,-1.2440163167481855,-1.2253744539277702
"[1.5, 0.5]",,-0.8025890840576513,-0.8010236734542244,
"[2.5, 0.5]",,-0.36226131556624575,-0.42832427097369996,
"[0.5, 1.5]",-0.9025025908272981,,,-0.8511224420634009
"[0.5, 2.5]",-0.5410884504590422,,,-0.4851636367304077
"[0.5, 3.5]",-0.3230414165637837,,,-0.292605873773
"[3.5, 0.5]",,-0.1607357421021148,-0.18759944,-0.1256461
"[3.5, 1.5]",-0.0747,,,-0.10425809999999999
"[3.5, 2.5]",-0.0636,,,-0.083481
"[3.5, 3.5]",-0.10684540000000001,,,-0.060983
"[4.5, 0.5]",,-0.06863191186646768,-0.10902800000000001,
"[5.5, 0.5]",,-0.058417687206798206,-0.04360000000000001,
"[0.5, 4.5]",-0.2802890313114995,,-0.10166610000000001,
"[1.5, 4.5]",,-0.063568,-0.0836597848,
"[2.5, 4.5]",,-0.0535,-0.06415352800000002,
"[3.5, 4.5]",-0.08177474700000001,-0.0385,-0.05049200000000001,
"[4.5, 4.5]",,-0.029700000000000004,-0.029900000000000003,
"[5.5, 4.5]",,0.0,0.0,
"[6.5, 0.5]",,-0.0499,,-0.0332
"[6.5, 1.5]",-0.041100000000000005,,,-0.022799999999999997
"[6.5, 2.5]",-0.03,,,0.0
